Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022e,% of GDP in 2022,,,
Luxembourg,0,0,0,0,0,0,0,0,0,652,579,577,771,977,"1,112","1,189","1,294","1,479","1,662","1,676","1,670","1,811","1,718","1,922","1,888","1,675","1,740","1,908","2,098","2,041","2,191","2,273","2,000",2.4,,,
"Macao SAR, China",0,0,0,0,0,0,0,0,0,0,0,0,47,48,53,53,55,54,52,48,47,48,47,49,37,40,28,25,23,22,19,19,17,0.1,,,
Madagascar,4,9,12,12,11,9,6,12,11,12,11,11,29,16,12,102,150,254,314,284,456,335,330,358,344,327,299,343,426,408,495,615,718,4.8,,,
Malawi,0,0,0,0,1,1,1,1,1,1,1,1,1,14,18,23,15,21,17,17,22,25,28,34,38,41,39,79,181,281,232,259,267,2.3,,,
Malaysia,185,130,153,176,119,116,164,194,190,323,342,367,435,571,802,"1,117","1,365","1,556","1,329","1,131","1,103","1,211","1,294","1,423","1,580","1,644","1,604","1,649","1,686","1,597","1,427","1,565","1,620",0.4,,,
Maldives,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,2,3,8,6,5,3,3,3,3,3,4,4,4,4,4,5,5,5,0.1,,,
Mali,107,93,117,126,103,112,111,92,84,86,73,88,138,154,156,177,212,344,433,456,473,785,827,895,921,817,827,885,"1,023",972,997,"1,053","1,094",5.9,,,
Malta,58,42,30,25,24,15,13,9,13,20,17,13,21,26,319,222,209,229,264,260,230,227,200,246,253,274,251,270,277,265,280,284,271,1.6,,,
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,25,23,24,22,22,23,25,26,27,28,30,31,0,0,31,30,11.1,,,
Mauritania,14,12,50,2,5,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,60,64,169,169,168,1.7,,,
Mauritius,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,327,224,194,250,245,319,285,272,279,2.4,,,
Mexico,"3,098","3,030","3,700","3,979","4,122","4,368","4,949","5,546","6,501","6,649","7,525","10,146","11,029","16,654","19,862","22,742","26,543","26,880","26,041","22,076","22,080","23,446","23,209","23,189","24,802","26,233","28,691","32,271","35,768","39,022","42,878","54,130","60,300",4.2,,,
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,21,22,23,0,0,0,0,0,0,0,0,,,,
Moldova,0,0,0,0,0,1,87,114,122,110,178,242,323,484,701,915,"1,176","1,491","1,888","1,352","1,753","1,813","1,986","2,192","2,076","1,540","1,467","1,638","1,838","1,910","1,877","2,085","2,170",15.4,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,0,0,0,0,0,0,0,6,8,1,27,69,79,203,177,155,178,225,200,266,250,324,257,255,261,260,273,441,561,549,535,500,3.2,,,
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,298,303,416,510,508,545,543,470,481,523,589,584,601,794,920,15.0,,,
Morocco,"2,006","1,990","2,170","1,959","1,827","1,970","2,165","1,893","2,011","1,938","2,161","3,261","2,877","3,614","4,221","4,589","5,451","6,730","6,894","6,269","6,423","7,256","6,508","6,882","7,789","6,904","6,383","6,823","6,919","6,963","7,414","10,705","11,401",8.0,,,
